analysis_block,age_label,measure,model_id,domain_or_score,percent_difference_per_1sd,ci_low_percent,ci_high_percent,p_value,n,n_countries
"Primary panel-b model, 1990–2023",Under-5,Incidence,M1,Household energy / HAP,-3.6501427425555177,-10.74485902315937,4.008518634671132,0.3406707159709436,6902,203
"Primary panel-b model, 1990–2023",Under-5,Incidence,M2,Household energy / HAP,-3.783422458049524,-11.013428628577238,4.034009302882002,0.3331950471524181,6902,203
"Primary panel-b model, 1990–2023",Under-5,Incidence,M3,Household energy / HAP,18.861754766892314,4.098693286140343,35.71848310747106,0.0106612754148584,6902,203
"Primary panel-b model, 1990–2023",Under-5,Incidence,M1,Thermal climate,12.22886118379398,5.048902969743341,19.899560362272982,0.0006258469268059,6902,203
"Primary panel-b model, 1990–2023",Under-5,Incidence,M2,Thermal climate,12.398827969871927,5.153866364358084,20.14295779886785,0.0005854706198291,6902,203
"Primary panel-b model, 1990–2023",Under-5,Incidence,M3,Thermal climate,20.87480350929376,11.82292206249138,30.659419857095926,1.808583992533456e-06,6902,203
"Primary panel-b model, 1990–2023",70+ years,Incidence,M1,Thermal climate,38.67726480670815,28.926121395730146,49.1659220495775,1.49746094255787e-18,6902,203
"Primary panel-b model, 1990–2023",70+ years,Incidence,M2,Thermal climate,39.80917374244759,29.8374170758553,50.54677998658988,6.916664947027506e-19,6902,203
"Primary panel-b model, 1990–2023",70+ years,Incidence,M3,Thermal climate,45.663190293522106,34.22547289186257,58.0755466853949,1.972165668342313e-19,6902,203
"Primary panel-b model, 1990–2023",70+ years,YLLs,M1,Thermal climate,35.560826096956234,21.29363172923904,51.50620284097993,8.217329995141917e-08,6902,203
"Primary panel-b model, 1990–2023",70+ years,YLLs,M2,Thermal climate,36.60454746753587,22.02826764448671,52.92196430400906,6.027419965293473e-08,6902,203
"Primary panel-b model, 1990–2023",70+ years,YLLs,M3,Thermal climate,39.9613831908759,23.936026153010623,58.05887434633825,5.9997432259769e-08,6902,203
"Household-score complete-case sensitivity, 2000–2023",Under-5,Incidence,M1,"HAP-PM only, same complete-case sample",-6.024720083115708,-13.410303106764909,1.990808979800396,0.136767414396519,4536,189
"Household-score complete-case sensitivity, 2000–2023",Under-5,Incidence,M2,"HAP-PM only, same complete-case sample",-6.172273140645112,-13.71114858843141,2.025257997737317,0.1360157070512971,4536,189
"Household-score complete-case sensitivity, 2000–2023",Under-5,Incidence,M3,"HAP-PM only, same complete-case sample",14.39202799191508,-0.6883345779400085,31.762326333885134,0.0622933845270267,4536,189
"Household-score complete-case sensitivity, 2000–2023",Under-5,Incidence,M1,HAP-PM plus reverse-oriented clean-cooking coverage,-6.662613509328185,-13.677558867733495,0.922397497545191,0.0836953332200049,4536,189
"Household-score complete-case sensitivity, 2000–2023",Under-5,Incidence,M2,HAP-PM plus reverse-oriented clean-cooking coverage,-6.789799389856876,-13.901466716017252,0.909285749695976,0.0824887416219244,4536,189
"Household-score complete-case sensitivity, 2000–2023",Under-5,Incidence,M3,HAP-PM plus reverse-oriented clean-cooking coverage,20.59851799985424,5.268623048458121,38.16085099798588,0.0069300105991551,4536,189
