variant,age_group,age_label,outcome,linear_beta,linear_p,quadratic_beta,quadratic_p,n,n_countries,r2,interpretation
legacy_humidity3_total,70p,70+ years,DALYs,0.0011898390039253,0.9873472375842158,-0.0249125962383606,0.6202742865509967,6902,203,0.2272039938214364,Quadratic-term check for departure from a linear moisture association; descriptive and not causal.
legacy_humidity3_total,70p,70+ years,Deaths,-0.0018031562922024,0.980810366634428,-0.0441243593411257,0.375485619651464,6902,203,0.2373596109933526,Quadratic-term check for departure from a linear moisture association; descriptive and not causal.
legacy_humidity3_total,70p,70+ years,Incidence,-0.1329490431010678,0.0139202839320677,-0.0373898853130241,0.3342872887204141,6902,203,0.3210050030774904,Quadratic-term check for departure from a linear moisture association; descriptive and not causal.
legacy_humidity3_total,u5,Under-5,DALYs,0.0373149016846047,0.6159940566996156,0.1790925740033745,0.0020709012581991,6902,203,0.0664896552097547,Quadratic-term check for departure from a linear moisture association; descriptive and not causal.
legacy_humidity3_total,u5,Under-5,Deaths,0.0369828490543754,0.619679943803048,0.1792905102865788,0.0020959210222034,6902,203,0.0665192681478813,Quadratic-term check for departure from a linear moisture association; descriptive and not causal.
legacy_humidity3_total,u5,Under-5,Incidence,-0.017623553856053,0.7507443955635082,0.0663852902655464,0.068762500764645,6902,203,0.1144627544780549,Quadratic-term check for departure from a linear moisture association; descriptive and not causal.
era5_total_wetness5,70p,70+ years,DALYs,0.022311025299672,0.7291780060655625,-0.0215307530405225,0.6417621065816976,6902,203,0.2277331637905014,Quadratic-term check for departure from a linear moisture association; descriptive and not causal.
era5_total_wetness5,70p,70+ years,Deaths,0.0154537405791446,0.8105786141137966,-0.0532963340945404,0.2466361617633922,6902,203,0.2392281227864641,Quadratic-term check for departure from a linear moisture association; descriptive and not causal.
era5_total_wetness5,70p,70+ years,Incidence,-0.1328931659081132,0.0039716119758261,-0.0373252059562903,0.3074594532129773,6902,203,0.3257577334416883,Quadratic-term check for departure from a linear moisture association; descriptive and not causal.
era5_total_wetness5,u5,Under-5,DALYs,0.0440770266767322,0.5211587499954096,0.2092474763552118,0.0006437018580619,6902,203,0.0728437562796727,Quadratic-term check for departure from a linear moisture association; descriptive and not causal.
era5_total_wetness5,u5,Under-5,Deaths,0.0439143612278601,0.5233814168319931,0.2095258379665466,0.0006509683904379,6902,203,0.0728417086679962,Quadratic-term check for departure from a linear moisture association; descriptive and not causal.
era5_total_wetness5,u5,Under-5,Incidence,-0.0045633291855038,0.9211336216961364,0.1076634141920583,0.0015985417637565,6902,203,0.1289446369109114,Quadratic-term check for departure from a linear moisture association; descriptive and not causal.
era5_age_specific_wetness5,70p,70+ years,DALYs,0.0201126106320272,0.7552916532143452,-0.0205688237604791,0.6613291797237251,6902,203,0.2274971684947716,Quadratic-term check for departure from a linear moisture association; descriptive and not causal.
era5_age_specific_wetness5,70p,70+ years,Deaths,0.0130458939960052,0.8397070972588355,-0.0522373275564492,0.2633623505692714,6902,203,0.2388377134202053,Quadratic-term check for departure from a linear moisture association; descriptive and not causal.
era5_age_specific_wetness5,70p,70+ years,Incidence,-0.1354893809477207,0.0031556236529517,-0.041260165629353,0.2621720511813976,6902,203,0.3262629973459114,Quadratic-term check for departure from a linear moisture association; descriptive and not causal.
era5_age_specific_wetness5,u5,Under-5,DALYs,0.0391311985294731,0.5680803149773472,0.2065394138799383,0.0007492359344807,6902,203,0.0720401637963454,Quadratic-term check for departure from a linear moisture association; descriptive and not causal.
era5_age_specific_wetness5,u5,Under-5,Deaths,0.0389356728909877,0.5706538638289897,0.206799653044706,0.000758420742759,6902,203,0.0720351097271582,Quadratic-term check for departure from a linear moisture association; descriptive and not causal.
era5_age_specific_wetness5,u5,Under-5,Incidence,-0.0046128479674386,0.9198800410038326,0.109458795388548,0.0012312701023801,6902,203,0.1300142986448909,Quadratic-term check for departure from a linear moisture association; descriptive and not causal.
